1473868273425	0	0	0	0	0	0	0	0
0	1	-1	1	-1	0	-1	0	1473868273433
0	-1	0	1	2	-2	0	0	1473868273438
1	-1	-1	-2	-4	0	1	-1	1473868273439
-1	1	1	-10	-2	-3	-2	0	1473868273444
-1	0	-1	-1	-1	-1	-3	-1	1473868273439
-1	-1	-2	-1	-1	-3	-2	-2	1473868273444
1	-2	0	-4	-2	-2	0	-1	1473868273439
-1	1	1	2	0	-3	-1	-1	1473868273444
0	-1	-1	-1	-3	-4	-2	0	1473868273482
-1	-2	-1	-1	-2	1	0	-2	1473868273487
-1	-1	-2	-2	-3	0	-1	-1	1473868273485
-1	-1	-1	0	-1	-5	-1	-1	1473868273490
0	1	-2	-3	1	2	0	-1	1473868273489
-1	-3	-2	0	-2	-4	-2	-2	1473868273494
-1	-1	-1	-1	0	-2	-1	-2	1473868273529
-3	-2	-1	-1	0	2	-1	-1	1473868273534
-1	0	-2	-2	0	2	0	0	1473868273532
0	0	-2	-1	-1	0	-1	0	1473868273537
0	1	0	1	-1	-7	-2	-1	1473868273576
0	0	-1	1	-3	1	-2	-2	1473868273581
-1	1	0	-1	0	1	1	-1	1473868273577
-1	-1	-1	1	0	-5	-2	-1	1473868273582
-2	-2	1	0	-2	-1	-1	-2	1473868273578
0	-1	1	-1	-1	-2	0	-1	1473868273583
-2	-3	-1	-3	-2	2	0	-1	1473868273627
-2	-2	-2	-2	-5	-3	-1	-1	1473868273632
0	-2	-2	-3	-7	-6	-2	0	1473868273627
-1	-1	-1	-3	-3	-3	-1	-1	1473868273632
0	0	-1	-2	-4	-5	-2	-2	1473868273627
-1	0	-2	1	-1	-7	-1	-1	1473868273632
-2	-1	-1	0	2	4	-1	0	1473868273631
-2	-1	-1	-2	4	5	-1	0	1473868273636
-2	-1	0	-10	-6	0	-1	0	1473868273674
0	-1	0	3	2	1	-2	-1	1473868273679
0	-2	0	-2	-4	-1	-1	0	1473868273674
-2	0	-1	-1	-3	-3	-3	-1	1473868273679
-1	-2	-2	-1	-3	-5	-1	1	1473868273719
-2	-2	-1	-3	-1	4	0	-2	1473868273724
-1	0	0	0	0	3	-2	-3	1473868273719
0	-1	0	1	0	2	1	-1	1473868273724
0	0	0	2	2	-3	-3	-1	1473868273721
0	-2	-3	-6	-6	-2	0	0	1473868273726
-1	0	-2	-2	-4	-3	-2	-2	1473868273721
-2	-3	-1	-1	1	-3	-2	-1	1473868273726
0	-2	1	-5	-3	0	1	0	1473868273767
-1	-1	0	-3	-2	-2	-1	0	1473868273772
-1	-1	-1	2	3	-1	-1	-1	1473868273768
-1	0	-1	-1	1	2	-2	-2	1473868273773
1	0	-1	-1	-1	0	-1	-2	1473868273770
-1	0	0	0	2	1	-1	-1	1473868273775
-1	0	0	2	-2	2	0	0	1473868273815
-1	-1	0	2	1	-2	-2	0	1473868273820
-2	-2	0	-7	-1	-2	-1	0	1473868273815
0	-1	-1	3	2	-1	-1	-2	1473868273820
-1	0	-1	1	3	2	0	1	1473868273861
-3	-2	0	0	-3	0	0	-3	1473868273866
-1	0	-1	-2	-2	0	-2	-2	1473868273861
-1	-2	-1	-5	-8	-5	-3	-2	1473868273866
-1	0	-1	-3	-2	-5	-1	-2	1473868273863
